Source,Target,Type,Weight
Manchioneal,Moore Town,Undirected,1
Manchioneal,Morant Bay,Undirected,1
Manchioneal,Port Antonio,Undirected,1
Manchioneal,Seaforth,Undirected,1
Mandeville,Alligator Pond,Undirected,1
Mandeville,Balaclava,Undirected,1
Mandeville,Bull Savanna,Undirected,1
Mandeville,Chapelton,Undirected,1
Mandeville,Christiana,Undirected,1
Mandeville,Coleyville,Undirected,1
Mandeville,Frankfield,Undirected,1
Mandeville,Nain,Undirected,1
Mandeville,Osbourne Store,Undirected,1
Mandeville,Porus,Undirected,1
Mandeville,Sanguinetti,Undirected,1
Mandeville,Seaford Town,Undirected,1
Mandeville,Williamsfield,Undirected,1
Maroon Town,Anchovy,Undirected,1
Maroon Town,Balaclava,Undirected,1
Maroon Town,Bethel Town,Undirected,1
Maroon Town,Cambridge,Undirected,1
Maroon Town,Clark's Town,Undirected,1
Maroon Town,Darliston,Undirected,1
Maroon Town,Falmouth,Undirected,1
Maroon Town,Maggotty,Undirected,1
Maroon Town,Montego Bay,Undirected,1
Maroon Town,Siloah,Undirected,1
Maroon Town,Wakefield,Undirected,1
Mavis Bank,Above Rocks,Undirected,1
Mavis Bank,Buff Bay,Undirected,1
Mavis Bank,Constant Spring,Undirected,1
Mavis Bank,Easington,Undirected,1
Mavis Bank,Gordon Town,Undirected,1
Mavis Bank,Hope Bay,Undirected,1
Mavis Bank,Kingston,Undirected,1
Mavis Bank,Port Royal,Undirected,1
Mavis Bank,Portmore,Undirected,1
Mavis Bank,Stony Hill,Undirected,1
Mavis Bank,Trinity Ville,Undirected,1
Mavis Bank,Yallahs,Undirected,1
May Pen,Chapelton,Undirected,1
May Pen,Croft's Hill,Undirected,1
May Pen,Frankfield,Undirected,1
May Pen,Hayes,Undirected,1
May Pen,Kellits,Undirected,1
May Pen,Lionel Town,Undirected,1
May Pen,Lluidas Vale,Undirected,1
May Pen,Old Harbour,Undirected,1
May Pen,Old Harbour Bay,Undirected,1
May Pen,Osbourne Store,Undirected,1
May Pen,Point Hill,Undirected,1
May Pen,Porus,Undirected,1
May Pen,Race Course,Undirected,1
May Pen,Rocky Point,Undirected,1
Moneague,Bamboo,Undirected,1
Moneague,Bog Walk,Undirected,1
Moneague,Claremont,Undirected,1
Moneague,Croft's Hill,Undirected,1
Moneague,Ewarton,Undirected,1
Moneague,Gayle,Undirected,1
Moneague,Guy's Hill,Undirected,1
Moneague,Highgate,Undirected,1
Moneague,Kellits,Undirected,1
Montego Bay,Anchovy,Undirected,1
Montego Bay,Bethel Town,Undirected,1
Montego Bay,Cambridge,Undirected,1
Montego Bay,Cascade,Undirected,1
Montego Bay,Maroon Town,Undirected,1
Montego Bay,Sandy Bay,Undirected,1
Montego Bay,Wakefield,Undirected,1
Moore Town,Bath,Undirected,1
Moore Town,Easington,Undirected,1
Moore Town,Golden Grove,Undirected,1
Moore Town,Hope Bay,Undirected,1
Moore Town,Manchioneal,Undirected,1
Moore Town,Morant Bay,Undirected,1
Moore Town,Port Antonio,Undirected,1
Moore Town,Seaforth,Undirected,1
Moore Town,Trinity Ville,Undirected,1
Morant Bay,Bath,Undirected,1
