Id,Label,timeset,Lat,Long,Parish,Population
Watchwell,Watchwell,,17.9357048,-77.76094350000001,Saint Elizabeth,3163.8
Leeds,Leeds,,18.018348800000002,-77.69011970000001,Saint Elizabeth,3163.8
Giddy Hall,Giddy Hall,,18.1114085,-77.8608464,Saint Elizabeth,3163.8
Pepper,Pepper,,18.050307999999998,-77.6407258,Saint Elizabeth,3163.8
Middle Quarters,Middle Quarters,,18.102018100000002,-77.8338693,Saint Elizabeth,3163.8
Top Hill,Top Hill,,17.892578399999998,-77.63754159999999,Saint Elizabeth,3163.8
Lititz,Lititz,,17.9416421,-77.5805844,Saint Elizabeth,3163.8
Bull Savannah,Bull Savannah,,17.884618300000003,-77.5950623,Saint Elizabeth,3163.8
Aberdeen,Aberdeen,,18.198852,-77.7080064,Saint Elizabeth,3163.8
Red Bank,Red Bank,,17.9274272,-77.6296772,Saint Elizabeth,3163.8
Holland,Holland,,18.065620300000003,-77.7578542,Saint Elizabeth,3163.8
Brighton,Brighton,,18.094564000000002,-77.702125,Saint Elizabeth,3163.8
Hopeton,Hopeton,,17.995202,-76.92589699999999,Saint Elizabeth,3163.8
Newton,Newton,,18.100438,-77.69731800000001,Saint Elizabeth,3163.8
West Green,West Green,,18.4608841,-77.9253025,Saint James,26543.5
Catherine Hall,Catherine Hall,,18.4612361,-77.9217448,Saint James,26543.5
Rose Heights,Rose Heights,,18.4762228,-77.8938895,Saint James,26543.5
Down Town Montego Bay,Down Town Montego Bay,,18.4762228,-77.8938895,Saint James,26543.5
Brandon Hill,Brandon Hill,,18.4757728,-77.9110318,Saint James,26543.5
Orange,Orange,,18.480122899999998,-77.9227906,Saint James,26543.5
Granville,Granville,,18.4458592,-77.89817540000001,Saint James,26543.5
Bogue,Bogue,,18.441495899999996,-77.9238557,Saint James,26543.5
Pitfour,Pitfour,,18.4420027,-77.8961572,Saint James,26543.5
Norwood,Norwood,,18.4925672,-77.90276,Saint James,26543.5
Mount Salem,Mount Salem,,18.4668374,-77.9067467,Saint James,26543.5
Albion,Albion,,18.4821645,-77.918174,Saint James,26543.5
Flankers,Flankers,,18.5042233,-77.89817540000001,Saint James,26543.5
Unity Hall,Unity Hall,,18.4480705,-77.97814770000001,Saint James,26543.5
Dumfries,Dumfries,,18.4224063,-77.7652602,Saint James,26543.5
John's Hall,John's Hall,,18.4195715,-77.8524505,Saint James,26543.5
Catadupa,Catadupa,,18.279485,-77.8738864,Saint James,26543.5
Somerton,Somerton,,18.4298978,-77.78812140000001,Saint James,26543.5
Rose Mount Garden,Rose Mount Garden,,18.468335999999997,-77.89603249999999,Saint James,26543.5
Barrett Town,Barrett Town,,18.5097282,-77.8016484,Saint James,26543.5
Paradise,Paradise,,18.4760043,-77.9220316,Saint James,26543.5
Lilliput,Lilliput,,18.5123897,-77.7766767,Saint James,26543.5
Green Pond,Green Pond,,18.4715802,-77.8728147,Saint James,26543.5
Glendevon,Glendevon,,18.480285000000002,-77.9003183,Saint James,26543.5
Welcome Hall,Welcome Hall,,18.3738111,-77.843416,Saint James,26543.5
Farm Heights,Farm Heights,,18.473619600000003,-77.8874603,Saint James,26543.5
Maldon,Maldon,,18.461833300000002,-77.9188312,Saint James,26543.5
Retirement,Retirement,,18.439471700000002,-77.88960340000001,Saint James,26543.5
Porto Bello,Porto Bello,,18.4623962,-77.88106090000001,Saint James,26543.5
Tangle River,Tangle River,,18.3460785,-77.8203785,Saint James,26543.5
Flower Hill,Flower Hill,,18.494820899999997,-77.8487295,Saint James,26543.5
Salt Spring,Salt Spring,,18.479235100000004,-77.8988197,Saint James,26543.5
Rosemount,Rosemount,,18.474375199999997,-77.89884190000001,Saint James,26543.5
Niagara,Niagara,,18.2795826,-77.83322629999999,Saint James,26543.5
Coral Gardens,Coral Gardens,,18.5101818,-77.8638067,Saint James,26543.5
Tucker,Tucker,,18.4507129,-77.886892,Saint James,26543.5
Ironshore,Ironshore,,18.5073962,-77.89673690000001,Saint James,26543.5
Adelphi,Adelphi,,18.448151,-77.79126,Saint James,26543.5
Montpelier,Montpelier,,18.362896399999997,-77.9238872,Saint James,26543.5
Summer Hill,Summer Hill,,18.5172806,-77.83891700000001,Saint James,26543.5
Mount Carey,Mount Carey,,18.386785,-77.9324565,Saint James,26543.5
Reading,Reading,,18.440040300000003,-77.9438811,Saint James,26543.5
Irwin,Irwin,,18.462051199999998,-77.91793009999999,Saint James,26543.5
Spot Valley,Spot Valley,,18.496956,-77.79381109999999,Saint James,26543.5
Catherine Mount,Catherine Mount,,18.464326899999996,-77.9017468,Saint James,26543.5
Friendship,Friendship,,18.474764,-77.917934,Saint James,26543.5
Montego Hill,Montego Hill,,18.4897618,-77.8888891,Saint James,26543.5
Flamstead,Flamstead,,18.3252469,-77.8221407,Saint James,26543.5
Tower Hill/Moy Hall,Tower Hill/Moy Hall,,18.412888,-77.861743,Saint James,26543.5
Castleton,Castleton,,18.2015068,-76.8252443,Saint Mary,3841.666667
Galina,Galina,,18.4047296,-76.893714,Saint Mary,3841.666667
Enfield,Enfield,,18.2326288,-76.74146400000001,Saint Mary,3841.666667
Guys Hill,Guys Hill,,18.249975699999997,-76.9902276,Saint Mary,3841.666667
Martin,Martin,,18.2838807,-76.8706548,Saint Mary,3841.666667
Epson,Epson,,18.249114600000002,-76.7266503,Saint Mary,3841.666667
Baileys Vale,Baileys Vale,,18.351525199999998,-76.90603890000001,Saint Mary,3841.666667
Clonmel,Clonmel,,18.242302300000002,-76.8500838,Saint Mary,3841.666667
Font Hill,Font Hill,,17.9374168,-76.5054652,Saint Thomas,4157.25
Duckenfield,Duckenfield,,17.9215181,-76.2609463,Saint Thomas,4157.25
Church Corner,Church Corner,,17.886246,-76.4172594,Saint Thomas,4157.25
Port Morant,Port Morant,,17.8961425,-76.331889,Saint Thomas,4157.25
White Horses,White Horses,,17.881546,-76.4534165,Saint Thomas,4157.25
