Id,Label,timeset,lat,long,parish,population,modularity_class,Weighted Degree,recovery weight
Oaklands,Oaklands,,18.035682,-76.796043,Saint Andrew,5854.5,0,5,0.25
Hughenden,Hughenden,,18.031415,-76.818395,Saint Andrew,5854.5,0,5,0.25
Marverley,Marverley,,18.014311,-76.809026,Saint Andrew,5854.5,0,5,0.25
Richmond Park,Richmond Park,,18.005164,-76.811546,Saint Andrew,5854.5,0,5,0.25
Forest Hills/ Plantation Height,Forest Hills/ Plantation Height,,18.041663,-76.856527,Saint Andrew,5854.5,0,5,0.25
Jones Town,Jones Town,,17.986069,-76.797846,Saint Andrew,5854.5,0,5,0.25
Arlene Gardens,Arlene Gardens,,18.036973,-76.824646,Saint Andrew,5854.5,0,5,0.25
Queensborough/ Tunbridge,Queensborough/ Tunbridge,,18.040034,-76.825525,Saint Andrew,5854.5,0,5,0.25
Mountain View Gardens,Mountain View Gardens,,17.986107,-76.766835,Saint Andrew,5854.5,0,5,0.25
Zaidie Gardens,Zaidie Gardens,,18.024342,-76.815872,Saint Andrew,5854.5,0,5,0.25
Trafalgar Park,Trafalgar Park,,18.011311,-76.784866,Saint Andrew,5854.5,0,5,0.25
Washington Gardens,Washington Gardens,,18.023423,-76.844708,Saint Andrew,5854.5,0,5,0.25
Drumblair,Drumblair,,18.026377,-76.789688,Saint Andrew,5854.5,0,5,0.25
Waltham Gardens,Waltham Gardens,,18.01235,-76.813414,Saint Andrew,5854.5,0,5,0.25
Woodford Park,Woodford Park,,17.984875,-76.780538,Saint Andrew,5854.5,0,5,0.25
Papine,Papine,,18.011598,-76.736538,Saint Andrew,5854.5,0,5,0.25
Bloxborough,Bloxborough,,18.059877,-76.756397,Saint Andrew,5854.5,1,5,0.25
Parry Town,Parry Town,,18.39452,-77.109599,Saint Ann,4601.2,1,5,0.25
Discovery Bay,Discovery Bay,,18.458202,-77.39847,Saint Ann,4601.2,5,5,0.25
Browns Town,Browns Town,,18.389459,-77.372638,Saint Ann,4601.2,5,5,0.25
Macknie,Macknie,,18.192827,-77.250484,Saint Ann,4601.2,5,5,0.25
Hinds Town,Hinds Town,,18.348784,-77.239577,Saint Ann,4601.2,5,5,0.25
Exchange,Exchange,,18.408173,-77.069562,Saint Ann,4601.2,1,5,0.25
Steer Town,Steer Town,,18.413123,-77.162896,Saint Ann,4601.2,5,5,0.25
